feature,r
LDA50_abstract_weight__0_network_state_resting,0.004723816393001457
LDA50_abstract_weight__1_anxiety_trait_personality,-0.03280010271824456
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.012765018898202866
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.0146720096488935
LDA50_abstract_weight__4_stimulus_time_repetition,-0.003859995271719962
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.04839748672241947
LDA50_abstract_weight__6_auditory_speech_temporal,0.02234818154609614
LDA50_abstract_weight__7_reward_feedback_striatum,-0.03182033463242894
LDA50_abstract_weight__8_mpfc_social_medial,0.0493271981271342
LDA50_abstract_weight__9_memory_working_wm,0.03464626284830175
LDA50_abstract_weight__10_food_taste_weight,-0.022542643024374153
LDA50_abstract_weight__11_learning_training_practice,-0.003651546128925222
LDA50_abstract_weight__12_women_men_sex,-0.009884074464498054
LDA50_abstract_weight__13_fear_threat_smokers,-0.021905376108451818
LDA50_abstract_weight__14_disease_ad_pd,-0.030346158211054703
LDA50_abstract_weight__15_task_performance_cognitive,0.058595740454917535
LDA50_abstract_weight__16_response_inhibition_control,0.02377479145628431
LDA50_abstract_weight__17_motor_cortex_hand,0.05842006963949481
LDA50_abstract_weight__18_number_ips_numerical,0.0029359241379214624
LDA50_abstract_weight__19_action_actions_observation,0.0711450201023289
LDA50_abstract_weight__20_control_conflict_task,0.004185396413793386
LDA50_abstract_weight__21_matter_volume_structural,-0.10634715487294173
LDA50_abstract_weight__22_method_group_approach,-0.07580480233800832
LDA50_abstract_weight__23_asd_autism_group,0.024813291876806358
LDA50_abstract_weight__24_age_adults_older,0.0036904480520261935
LDA50_abstract_weight__25_spatial_body_human,-0.029589372315819845
LDA50_abstract_weight__26_emotional_amygdala_negative,0.01795985354373509
LDA50_abstract_weight__27_disorder_adhd_group,-0.06163860839428507
LDA50_abstract_weight__28_social_empathy_moral,0.02111091832377057
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.04342731927479277
LDA50_abstract_weight__30_decision_making_risk,-0.000987294189939724
LDA50_abstract_weight__31_model_models_prediction,-0.03941934270929002
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.012516104208217462
LDA50_abstract_weight__33_memory_retrieval_encoding,0.05468069757274471
LDA50_abstract_weight__34_frequency_hz_ms,-0.06349315491658175
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.08009493568704225
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.04867978507150957
LDA50_abstract_weight__37_language_reading_word,0.06540702505672125
LDA50_abstract_weight__38_semantic_category_representations,0.017604709073057175
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.029876158551468007
LDA50_abstract_weight__40_face_faces_facial,-0.01137550878263368
LDA50_abstract_weight__41_imagery_mental_events,0.06105804227281838
LDA50_abstract_weight__42_visual_cortex_sensory,0.011133242838437269
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.01034609627956192
LDA50_abstract_weight__44_eye_sleep_gaze,0.0012225417953552974
LDA50_abstract_weight__45_motion_perception_visual,-0.013540079761042108
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.01111462753734334
LDA50_abstract_weight__47_attention_attentional_target,0.02979005445841868
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.037482259202043434
LDA50_abstract_weight__49_depression_mdd_state,-0.09453717274756364
