feature,r
LDA50_abstract_weight__0_network_state_resting,-0.001079992977879955
LDA50_abstract_weight__1_anxiety_trait_personality,-0.029463149856314846
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.0049199006271782985
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.005420514425572934
LDA50_abstract_weight__4_stimulus_time_repetition,-0.00020451583184231414
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.04749535707450818
LDA50_abstract_weight__6_auditory_speech_temporal,0.033198162880705144
LDA50_abstract_weight__7_reward_feedback_striatum,-0.03410271243585731
LDA50_abstract_weight__8_mpfc_social_medial,0.038496612851196745
LDA50_abstract_weight__9_memory_working_wm,0.025431373471806462
LDA50_abstract_weight__10_food_taste_weight,-0.023257907685056985
LDA50_abstract_weight__11_learning_training_practice,-0.0072239712719353415
LDA50_abstract_weight__12_women_men_sex,-0.009709297113290683
LDA50_abstract_weight__13_fear_threat_smokers,-0.019786131417978223
LDA50_abstract_weight__14_disease_ad_pd,-0.027632143137392127
LDA50_abstract_weight__15_task_performance_cognitive,0.04641443162689265
LDA50_abstract_weight__16_response_inhibition_control,0.023695588510677084
LDA50_abstract_weight__17_motor_cortex_hand,0.06251404248993335
LDA50_abstract_weight__18_number_ips_numerical,-0.0031631849971394677
LDA50_abstract_weight__19_action_actions_observation,0.06971670189331455
LDA50_abstract_weight__20_control_conflict_task,-0.005118843771503154
LDA50_abstract_weight__21_matter_volume_structural,-0.10666782535672668
LDA50_abstract_weight__22_method_group_approach,-0.07178338559730645
LDA50_abstract_weight__23_asd_autism_group,0.02424697427687013
LDA50_abstract_weight__24_age_adults_older,0.004007121549775345
LDA50_abstract_weight__25_spatial_body_human,-0.022928725173788037
LDA50_abstract_weight__26_emotional_amygdala_negative,0.015705543258065658
LDA50_abstract_weight__27_disorder_adhd_group,-0.06528272065850252
LDA50_abstract_weight__28_social_empathy_moral,0.017809280317099222
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.04426396057553179
LDA50_abstract_weight__30_decision_making_risk,-0.004695075338537948
LDA50_abstract_weight__31_model_models_prediction,-0.042370644957599124
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.02891728711200022
LDA50_abstract_weight__33_memory_retrieval_encoding,0.055553070683835526
LDA50_abstract_weight__34_frequency_hz_ms,-0.05815532470778836
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.08041876319510692
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.047339464850549434
LDA50_abstract_weight__37_language_reading_word,0.060214635470058876
LDA50_abstract_weight__38_semantic_category_representations,0.021561532304054526
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.02120608810485907
LDA50_abstract_weight__40_face_faces_facial,-0.00013480998403683902
LDA50_abstract_weight__41_imagery_mental_events,0.06284460374886489
LDA50_abstract_weight__42_visual_cortex_sensory,0.025468486539940282
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.00835087325314457
LDA50_abstract_weight__44_eye_sleep_gaze,0.0011433968210533584
LDA50_abstract_weight__45_motion_perception_visual,-0.019017574472944394
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.007291693308627107
LDA50_abstract_weight__47_attention_attentional_target,0.031463477390429095
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.027278458164899596
LDA50_abstract_weight__49_depression_mdd_state,-0.09118654701663853
